Cadet_ID,Detachment,Det State,School,LastName,FirstName,MI,SSN
0196361,927,Oregon,Dartmouth College,EVANS,DONALD,W,014295671
5016506,890,Georgia,Kansas State University,WEST,KIMBERLY,Z,386755611
8368186,389,Florida,Rutgers University,FISHER,EMILY,D,827107333
4725485,114,Nevada,University of Michigan,GIBSON,JOSHUA,G,946214459
4775515,927,Idaho,Ohio State University,MARSHALL,AMANDA,J,297129352
0829097,512,Tennessee,Michigan State University,WELLS,DEBORAH,N,649971211
1888597,389,Oklahoma,New York University,STEVENS,RONALD,Q,532656436
3470507,114,New Hampshire,University of Wyoming,HUNTER,SHARON,T,193033981
6307991,412,Maryland,University of Wyoming,MASON,CYNTHIA,X,326217797
2879409,512,Indiana,University of Vermont,PAYNE,JACOB,A,576506253
0213337,389,Georgia,University of Hawaii,NICHOLS,SHIRLEY,D,729935761
9453286,815,Rhode Island,Vanderbilt University,SMITH,HELEN,H,939255504
7613503,412,Pennsylvania,Rutgers University,BROWN,STEPHEN,K,910953619
4865640,512,Wisconsin,Harvard University,MILLER,PAMELA,N,756885499
2055521,921,Oregon,Massachusetts Institute of Technology,HERNANDEZ,SAMANTHA,R,697282592
6411665,815,North Dakota,University of Southern California,WILSON,GREGORY,U,768966825
6238350,412,Connecticut,University of Idaho,TAYLOR,RUTH,X,216457830
0169156,203,Iowa,"University of California, Berkeley",LEE,DEBRA,B,199763691
9820812,921,Utah,University of Oregon,WHITE,JACK,E,433198359
6286041,815,Tennessee,University of Georgia,CLARK,JANET,H,029149708
8955885,119,Alaska,Massachusetts Institute of Technology,WALKER,HEATHER,L,604053328
2182224,203,Louisiana,Boise State University,KING,JAMES,O,768051758
9823068,921,Tennessee,University of Kansas,TORRES,PATRICIA,R,299924734
0771956,304,Delaware,Purdue University,GREEN,LINDA,V,119586797
0990595,119,Idaho,Dartmouth College,BAKER,WILLIAM,Y,269671215
3649927,203,Mississippi,University of Wyoming,CAMPBELL,SUSAN,B,101342712
4724626,510,New York,Tulane University,GOMEZ,SARAH,F,576877023
7570140,304,New Jersey,Auburn University,DIAZ,CHRISTOPHER,I,778376368
6622889,119,Arizona,Massachusetts Institute of Technology,JORDAN,LISA,L,887936649
0924714,712,Virginia,Virginia Tech,ELLIS,MARGARET,P,212305537
8124573,510,Wyoming,University of Minnesota,MCDONALD,DONALD,S,157314917
7783391,304,North Dakota,University of Pennsylvania,ORTIZ,KIMBERLY,V,344533146
4605930,890,Delaware,University of Missouri,WEBB,EMILY,Z,227554373
8957495,712,Arizona,North Dakota State University,TUCKER,JOSHUA,C,189323600
3856181,510,Ohio,University of Hawaii,HICKS,AMANDA,F,990903911
7592378,927,West Virginia,University of Minnesota,BURNS,DEBORAH,J,472494193
0048216,890,California,Yale University,PALMER,RONALD,M,657924846
8605760,712,Minnesota,University of Nebraska-Lincoln,WARREN,SHARON,P,202763935
3073807,114,Wyoming,University of South Carolina,JOHNSON,CYNTHIA,T,577511099
0883623,927,Wyoming,University of Washington,JONES,JACOB,W,248252957
8664264,890,Idaho,University of Oregon,DAVIS,SHIRLEY,Z,159819259
6970681,389,Oregon,Georgia Institute of Technology,LOPEZ,HELEN,D,243190976
0544034,114,Mississippi,University of Virginia,ANDERSON,STEPHEN,G,556613677
5886576,927,Indiana,University of Illinois,MOORE,PAMELA,J,391284361
4783577,512,Nevada,South Dakota State University,PEREZ,SAMANTHA,N,916584671
1817499,389,Tennessee,Vanderbilt University,HARRIS,GREGORY,Q,310994534
5060797,114,Vermont,University of Mississippi,RAMIREZ,RUTH,T,756234135
9009494,412,Maine,University of Illinois,YOUNG,DEBRA,X,225385656
3139145,512,Missouri,University of South Carolina,WRIGHT,JACK,A,979938827
2586730,389,Minnesota,University of Utah,NGUYEN,JANET,D,435238877
0717997,815,Louisiana,University of Colorado Boulder,ADAMS,HEATHER,H,857940845
3001149,412,Maryland,Indiana University,HALL,JAMES,K,253198875
4606397,512,Texas,Purdue University,MITCHELL,PATRICIA,N,262757243
4957730,921,Delaware,University of Georgia,PHILLIPS,LINDA,R,543006671
4990634,815,Mississippi,University of Florida,HOWARD,WILLIAM,U,559211173
1806671,412,Kentucky,Columbia University,OWENS,SUSAN,X,224082123
1354232,203,Michigan,University of Wyoming,HARRISON,SARAH,B,062033364
8131844,921,West Virginia,Stanford University,CRUZ,CHRISTOPHER,E,148237535
1017738,815,Tennessee,University of Michigan,MURRAY,LISA,H,269835956
2995040,119,Missouri,Colorado State University,SIMPSON,MARGARET,L,562419283
0098558,203,Arizona,Brown University,PORTER,DONALD,O,798567091
9420412,921,Mississippi,Columbia University,CRAWFORD,KIMBERLY,R,211903092
1176714,304,Washington,University of Idaho,GARDNER,EMILY,V,173376404
5842087,119,Pennsylvania,Tulane University,STONE,JOSHUA,Y,542490194
1168822,203,Maine,University of North Carolina at Chapel Hill,STEWART,AMANDA,B,430528315
5891682,510,Wyoming,Indiana University,WILLIAMS,DEBORAH,F,489460899
9339745,304,Mississippi,Virginia Tech,GARCIA,RONALD,I,132881594
6842403,119,North Dakota,Kansas State University,RODRIGUEZ,SHARON,L,994376487
5580578,712,Oklahoma,South Dakota State University,GONZALEZ,CYNTHIA,P,318217794
0609863,510,New York,University of Tennessee,THOMAS,JACOB,S,648527317
1813535,304,California,Princeton University,JACKSON,SHIRLEY,V,470257698
2409772,890,California,Clemson University,THOMPSON,HELEN,Z,355549725
6594608,712,Louisiana,West Virginia University,SANCHEZ,STEPHEN,C,964294578
3237268,510,Maine,Kansas State University,LEWIS,PAMELA,F,811458394
0271787,927,Massachusetts,University of Florida,ALLEN,SAMANTHA,J,458906836
2433142,890,Massachusetts,Colorado State University,SCOTT,GREGORY,M,412241501
7466562,712,New Mexico,University of Florida,HILL,RUTH,P,860742497
3206062,114,Florida,Montana State University,NELSON,DEBRA,T,657518425
9096759,927,South Carolina,University of New Mexico,RIVERA,JACK,W,088696913
3738288,890,Texas,Mississippi State University,CARTER,JANET,Z,474389602
8090226,389,Maine,New York University,EVANS,HEATHER,D,861720440
0283650,114,Colorado,Indiana University,WEST,JAMES,G,435076658
6460495,927,South Dakota,Montana State University,REYNOLDS,PATRICIA,J,762461569
0508779,512,Ohio,University of Nebraska-Lincoln,GIBSON,LINDA,N,787776354
9262618,389,Washington,Florida State University,MARSHALL,WILLIAM,Q,286072841
6375695,114,West Virginia,South Dakota State University,FREEMAN,SUSAN,T,654524974
5145435,412,Connecticut,Vanderbilt University,STEVENS,SARAH,X,421915846
9173980,512,Pennsylvania,University of Illinois,HUNTER,CHRISTOPHER,A,307606601
8189982,389,Ohio,University of Southern California,BOYD,LISA,D,273519871
7198230,815,Kentucky,University of Wyoming,PAYNE,MARGARET,H,653646233
2583335,412,Wisconsin,West Virginia University,NICHOLS,DONALD,K,876393673
7689625,512,Louisiana,Montana State University,MORRISON,KIMBERLY,N,719419921
1411769,921,Colorado,Oregon State University,BROWN,EMILY,R,614832363
4528959,815,Oklahoma,Texas A&M University,MILLER,JOSHUA,U,961128834
7252967,412,Arizona,Montana State University,MARTINEZ,AMANDA,X,451746844
2651761,203,South Carolina,University of Oregon,WILSON,DEBORAH,B,614780275
1973966,921,New York,Ohio State University,TAYLOR,RONALD,E,156273856
9254179,815,Arkansas,Pennsylvania State University,MARTIN,SHARON,H,279174001
0481546,119,Louisiana,University of Texas at Austin,WHITE,CYNTHIA,L,731344231
3598085,203,Hawaii,University of Nebraska-Lincoln,CLARK,JACOB,O,117236382
0213494,921,New Jersey,Oklahoma State University,ROBINSON,SHIRLEY,R,006015424
6013981,304,Delaware,University of New Mexico,KING,HELEN,V,829731897
5675825,119,Arkansas,University of Pennsylvania,TORRES,STEPHEN,Y,498266006
0647663,203,Hawaii,Texas A&M University,FLORES,PAMELA,B,244247316
6231727,510,North Carolina,University of Kansas,BAKER,SAMANTHA,F,694834857
0716117,304,Delaware,University of Texas at Austin,CAMPBELL,GREGORY,I,820698479
0114425,119,Hawaii,University of Connecticut,ROBERTS,RUTH,L,590676721
2399656,712,West Virginia,North Dakota State University,DIAZ,DEBRA,P,362040423
9576593,510,New Mexico,University of Arizona,JORDAN,JACK,S,186581155
7816633,304,Virginia,Pennsylvania State University,FISHER,JANET,V,482227234
2938560,890,Tennessee,University of Maryland,MCDONALD,HEATHER,Z,882852761
3908137,712,Tennessee,University of Washington,ORTIZ,JAMES,C,235510648
5633363,510,Idaho,University of Arizona,WELLS,PATRICIA,F,459115490
2421354,927,Utah,Michigan State University,TUCKER,LINDA,J,182440173
8731247,890,West Virginia,Tulane University,HICKS,WILLIAM,M,961502940
6183244,712,Louisiana,Ohio State University,MASON,SUSAN,P,095898015
6436776,114,Massachusetts,University of South Carolina,PALMER,SARAH,T,655025401
5254939,927,South Dakota,University of Alabama,WARREN,CHRISTOPHER,W,181051409
0216027,890,New Hampshire,University of Maryland,SMITH,LISA,Z,037285951
4176615,389,Illinois,Michigan State University,JONES,MARGARET,D,529433292
2698315,114,Hawaii,Yale University,DAVIS,DONALD,G,928848130
9976724,927,Michigan,Stanford University,HERNANDEZ,KIMBERLY,J,041677504
7722738,512,Arkansas,University of Arizona,ANDERSON,EMILY,N,436724625
0249280,389,New York,Yale University,MOORE,JOSHUA,D,229986927
8612226,114,Mississippi,Tulane University,LEE,AMANDA,G,215274017
4857063,412,Georgia,University of Arkansas,HARRIS,DEBORAH,K,374679695
4671306,512,Kentucky,Tulane University,RAMIREZ,RONALD,N,142558985
7286420,389,Mississippi,University of Michigan,WALKER,SHARON,Q,618887144
9124181,815,Florida,University of Pennsylvania,WRIGHT,CYNTHIA,U,168273652
2803511,412,Montana,University of Connecticut,NGUYEN,JACOB,X,844960211
2688131,512,Mississippi,University of New Mexico,GREEN,SHIRLEY,A,478179274
6812668,921,Minnesota,Massachusetts Institute of Technology,HALL,HELEN,E,697703751
7261140,815,Tennessee,"University of California, Berkeley",MITCHELL,STEPHEN,H,205206315
6774662,412,Nevada,South Dakota State University,GOMEZ,PAMELA,K,295620733
1608735,203,West Virginia,University of Utah,HOWARD,SAMANTHA,O,308084962
2275388,921,Tennessee,University of Illinois,OWENS,GREGORY,R,651736314
5921023,815,Maine,University of Arizona,ELLIS,RUTH,U,533574283
5498010,119,Kentucky,University of Arizona,CRUZ,DEBRA,Y,921177623
8680058,203,Alabama,University of Colorado Boulder,MURRAY,JACK,B,615805237
9816914,921,Georgia,Columbia University,WEBB,JANET,E,584037842
4045890,304,Delaware,Auburn University,PORTER,HEATHER,I,717802473
2874316,119,South Dakota,University of Missouri,CRAWFORD,JAMES,L,823911965
4710810,203,Georgia,University of Arizona,BURNS,PATRICIA,O,339170417
8548221,510,Iowa,University of Hawaii,STONE,LINDA,S,201370079
6921918,304,Massachusetts,University of Delaware,STEWART,WILLIAM,V,715130685
1698921,119,Tennessee,Oklahoma State University,JOHNSON,SUSAN,Y,084648302
1621845,712,Michigan,University of Florida,GARCIA,SARAH,C,417905929
5859271,510,Louisiana,Kansas State University,RODRIGUEZ,CHRISTOPHER,F,805855029
7277304,304,Indiana,University of South Carolina,LOPEZ,LISA,I,247427684
3667556,890,Delaware,Yale University,THOMAS,MARGARET,M,025221959
9359570,712,Tennessee,University of Florida,JACKSON,DONALD,P,112774628
2633211,510,Massachusetts,Virginia Tech,PEREZ,KIMBERLY,S,430380622
7012065,927,North Dakota,University of Arkansas,SANCHEZ,EMILY,W,152654263
1083457,890,Arizona,Princeton University,LEWIS,JOSHUA,Z,090325915
6048556,712,Mississippi,University of South Carolina,YOUNG,AMANDA,C,257349281
0478140,114,Alaska,Indiana University,SCOTT,DEBORAH,G,859211076
0098578,927,Massachusetts,University of Nebraska-Lincoln,HILL,RONALD,J,717141031
6635345,890,Tennessee,University of Georgia,ADAMS,SHARON,M,719588629
1734356,389,Georgia,Indiana University,RIVERA,CYNTHIA,Q,364997163
9558168,114,New Jersey,Dartmouth College,CARTER,JACOB,T,916107977
0979010,927,Minnesota,University of Maryland,PHILLIPS,SHIRLEY,W,529564650
9871322,512,Maine,Massachusetts Institute of Technology,WEST,HELEN,A,539198927
0981248,389,Colorado,Clemson University,REYNOLDS,STEPHEN,D,384606663
6585945,114,Alaska,University of North Carolina at Chapel Hill,HARRISON,PAMELA,G,356303405
1002613,412,Oregon,University of Maryland,MARSHALL,SAMANTHA,K,025286518
3003963,512,Ohio,University of Alabama,FREEMAN,GREGORY,N,911114344
3260362,389,Arkansas,University of Alaska,SIMPSON,RUTH,Q,316074531
3252699,815,Nebraska,University of Arkansas,HUNTER,DEBRA,H,324539343
7214829,412,Texas,Mississippi State University,BOYD,JACK,K,452215709
8680621,512,Maryland,University of Kansas,GARDNER,JANET,N,191665587
4583409,921,Michigan,University of Texas at Austin,NICHOLS,HEATHER,R,123443747
7115920,815,Mississippi,Oregon State University,MORRISON,JAMES,U,034279277
4678356,412,California,Massachusetts Institute of Technology,WILLIAMS,PATRICIA,X,274391757
1698725,203,Tennessee,University of Florida,MILLER,LINDA,B,030291865
8580012,921,Oklahoma,University of Utah,MARTINEZ,WILLIAM,E,591369516
7857175,815,South Carolina,University of Alabama,GONZALEZ,SUSAN,H,706960201
3503226,119,Connecticut,University of Alabama,TAYLOR,SARAH,L,302020050
8505196,203,Oklahoma,University of Alabama,MARTIN,CHRISTOPHER,O,746074410
3291536,921,Washington,University of Utah,THOMPSON,LISA,R,121426514
5816572,304,Minnesota,Johns Hopkins University,CLARK,MARGARET,V,273387219
6336624,119,Louisiana,Carnegie Mellon University,ROBINSON,DONALD,Y,210819545
2592016,203,Rhode Island,Arizona State University,ALLEN,KIMBERLY,B,928053838
9421200,510,Nevada,University of Minnesota,TORRES,EMILY,F,253451830
0288362,304,Missouri,University of Southern California,FLORES,JOSHUA,I,369032790
8518687,119,Delaware,Boise State University,NELSON,AMANDA,L,869496888
9932570,712,New York,Montana State University,CAMPBELL,DEBORAH,P,336318805
5837872,510,Missouri,University of Missouri,ROBERTS,RONALD,S,682186861
7484979,304,Arkansas,University of Oklahoma,EVANS,SHARON,V,757925982
7996668,890,Connecticut,University of Colorado Boulder,JORDAN,CYNTHIA,Z,596398178
4711987,712,New Hampshire,University of Iowa,FISHER,JACOB,C,864692955
0873353,510,Louisiana,University of Hawaii,GIBSON,SHIRLEY,F,607110509
6248471,927,Wisconsin,Georgia Institute of Technology,ORTIZ,HELEN,J,596743044
0531896,890,Texas,University of Kentucky,WELLS,STEPHEN,M,061893655
3305795,712,Arizona,University of Kansas,STEVENS,PAMELA,P,813238392
4168285,114,Florida,North Dakota State University,HICKS,SAMANTHA,T,878371034
1621286,927,Virginia,Duke University,MASON,GREGORY,W,452682847
8199432,890,Kansas,Arizona State University,PAYNE,RUTH,Z,701672478
5059346,389,Ohio,University of Washington,WARREN,DEBRA,D,571784223
0978428,114,Washington,University of Arkansas,SMITH,JACK,G,515383020
0754835,927,Missouri,University of Iowa,BROWN,JANET,J,103643103
3197160,512,Wisconsin,Tulane University,DAVIS,HEATHER,N,868732578
3916510,389,South Dakota,"University of Nevada, Las Vegas",HERNANDEZ,JAMES,Q,816037895
0716848,114,Florida,Dartmouth College,WILSON,PATRICIA,T,537886048
4086636,412,Massachusetts,Johns Hopkins University,MOORE,LINDA,X,793382471
6273382,512,New York,Montana State University,LEE,WILLIAM,A,885560269
5083734,389,Kentucky,University of Connecticut,WHITE,SUSAN,D,662917706
4473572,815,Arizona,University of Iowa,RAMIREZ,SARAH,H,757010467
2851650,412,Hawaii,West Virginia University,WALKER,CHRISTOPHER,K,420675777
7470401,512,Arizona,Michigan State University,KING,LISA,N,967267467
5540359,921,New York,Vanderbilt University,NGUYEN,MARGARET,R,130476160
7308998,815,Oregon,University of Alaska,GREEN,DONALD,U,826740397
4235086,412,West Virginia,Yale University,BAKER,KIMBERLY,X,983120002
8107644,203,New Hampshire,University of Georgia,MITCHELL,EMILY,B,692494260
2287289,921,Tennessee,Colorado State University,GOMEZ,JOSHUA,E,601094541
4576447,815,Alaska,Colorado State University,DIAZ,AMANDA,H,999712695
9923224,119,Louisiana,Indiana University,OWENS,DEBORAH,L,166544496
7213691,203,Rhode Island,Arizona State University,ELLIS,RONALD,O,842841550
1498423,921,Wisconsin,Carnegie Mellon University,MCDONALD,SHARON,R,821806409
8705816,304,New York,Arizona State University,MURRAY,CYNTHIA,V,408036915
2543610,119,South Dakota,Auburn University,WEBB,JACOB,Y,985565192
3444646,203,West Virginia,Carnegie Mellon University,TUCKER,SHIRLEY,B,071830671
7684798,510,Louisiana,University of Missouri,CRAWFORD,HELEN,F,103931093
1130110,304,New Mexico,Yale University,BURNS,STEPHEN,I,111402702
3660223,119,New Hampshire,Brown University,PALMER,PAMELA,L,474694245
1541689,712,Nevada,Oregon State University,STEWART,SAMANTHA,P,974487183
8571778,510,West Virginia,University of Delaware,JOHNSON,GREGORY,S,827416722
2994766,304,Minnesota,Texas A&M University,JONES,RUTH,V,847584884
8490926,890,Maine,Oregon State University,RODRIGUEZ,DEBRA,Z,342773712
3693672,712,Georgia,University of Connecticut,LOPEZ,JACK,C,906895103
9743138,510,California,University of Tennessee,ANDERSON,JANET,F,985181730
0247702,927,New Mexico,Yale University,JACKSON,HEATHER,J,747968791
0108620,890,Connecticut,University of Illinois,PEREZ,JAMES,M,346561398
6234038,712,California,Rutgers University,HARRIS,PATRICIA,P,878697633
8270803,114,Nevada,University of Wyoming,LEWIS,LINDA,T,856457938
3704557,927,Tennessee,"University of Nevada, Las Vegas",YOUNG,WILLIAM,W,585731111
7309836,890,Nevada,University of Arkansas,WRIGHT,SUSAN,Z,603662268
0437109,389,Wyoming,University of Connecticut,HILL,SARAH,D,420406036
7732082,114,Mississippi,University of Minnesota,ADAMS,CHRISTOPHER,G,237004954
2043804,927,New Mexico,University of Tennessee,HALL,LISA,J,810357560
6047896,512,Rhode Island,Georgia Institute of Technology,CARTER,MARGARET,N,938162419
6140343,389,Mississippi,Virginia Tech,PHILLIPS,DONALD,Q,655898221
4258750,114,Rhode Island,University of Georgia,HOWARD,KIMBERLY,T,153766456
7517383,412,New Jersey,University of Virginia,REYNOLDS,EMILY,X,673908171
5881779,512,West Virginia,Brown University,HARRISON,JOSHUA,A,687048478
1049390,389,Colorado,University of Wyoming,CRUZ,AMANDA,D,379463946
8802146,815,North Dakota,Cornell University,FREEMAN,DEBORAH,H,410644613
9303159,412,Louisiana,University of Minnesota,SIMPSON,RONALD,K,294525201
1456612,512,Kentucky,University of Washington,PORTER,SHARON,N,446671233
3775367,921,Indiana,University of New Mexico,BOYD,CYNTHIA,R,228073977
3608148,414,Louisiana,Brown University,GARCIA,KAREN,Q,274050370
6736335,164,Kansas,New York University,JONES,JENNIFER,F,890889604
3742462,249,Arizona,University of Alaska,MARTINEZ,WILLIAM,C,920453528
2698903,020,Montana,West Virginia University,BROWN,RICHARD,X,616982376
6249526,507,Kentucky,Dartmouth College,BROWN,MARY,U,415477977
9741253,364,Oregon,University of Vermont,JOHNSON,JAMES,M,423875367
5016130,003,Pennsylvania,Virginia Tech,MARTIN,ELIZABETH,Z,109845397
1522556,118,Virginia,University of Georgia,MOORE,RICHARD,S,030682771
7862108,886,Indiana,North Dakota State University,JONES,MICHAEL,G,784617167
8325517,647,New Jersey,Princeton University,JONES,ROBERT,C,467804872
0966330,488,Pennsylvania,University of Delaware,THOMAS,PATRICIA,W,155874228
8890469,829,Washington,University of Kentucky,MOORE,DAVID,T,769865399
8368136,791,Rhode Island,North Dakota State University,GARCIA,THOMAS,C,095248507
8142860,730,Rhode Island,"University of Nevada, Las Vegas",JACKSON,WILLIAM,I,578687035
0835582,212,West Virginia,Virginia Tech,JONES,MICHAEL,M,723699480
7722699,911,New Mexico,University of Idaho,RODRIGUEZ,ROBERT,G,598582278
8011158,020,Michigan,Pennsylvania State University,JONES,JESSICA,K,582021896
9370245,762,Montana,Kansas State University,SMITH,SARAH,A,793315402
9573235,913,Washington,University of Alaska,MILLER,MARY,F,540196027
2793233,090,Missouri,Yale University,BROWN,CHARLES,W,376389304
1485736,707,Kansas,University of Mississippi,ANDERSON,JOSEPH,X,799955969
3472104,462,North Dakota,University of Delaware,ANDERSON,BARBARA,H,281613083
5912484,243,Massachusetts,University of Kentucky,MILLER,JAMES,P,655881225
1840727,705,Tennessee,Princeton University,BROWN,WILLIAM,I,547408767
0793957,123,New Hampshire,University of Minnesota,LOPEZ,KAREN,U,862998344
7768991,547,Virginia,University of Oregon,JOHNSON,PATRICIA,I,490498083
3015496,566,Mississippi,University of Kansas,THOMAS,LINDA,R,287240168
2460960,342,Wisconsin,University of Missouri,HERNANDEZ,RICHARD,E,306822950
2043426,515,Maryland,University of Alabama,MOORE,JOHN,Y,239104951
7679332,342,Hawaii,Indiana University,JACKSON,ROBERT,H,837009302
9155495,368,Michigan,University of Oklahoma,THOMAS,JOHN,H,949342722
4257982,389,Hawaii,Vanderbilt University,GONZALEZ,WILLIAM,X,027204232
7094971,327,Arizona,Indiana University,MOORE,DAVID,A,929573618
4014658,583,Colorado,Johns Hopkins University,HERNANDEZ,SARAH,A,379692786
4426663,167,Montana,Michigan State University,MOORE,RICHARD,U,523327876
7070880,416,Nevada,University of Hawaii,WILLIAMS,RICHARD,W,159889858
7715096,403,Georgia,University of Mississippi,GARCIA,BARBARA,A,262638971
2045013,755,Alaska,Harvard University,TAYLOR,MICHAEL,T,509054140
4474522,491,Louisiana,University of Arkansas,TAYLOR,JENNIFER,Q,016390604
9875607,415,Colorado,Auburn University,WILLIAMS,MARY,T,214773903
7570849,585,Connecticut,Cornell University,MARTIN,ELIZABETH,H,297373051
7153219,680,Vermont,University of Pennsylvania,SMITH,KAREN,S,866074865
9310538,644,Kansas,Louisiana State University,BROWN,LINDA,Z,193478132
1129754,294,Ohio,University of Pennsylvania,WILLIAMS,MICHAEL,C,576824725
4745113,569,New York,Oregon State University,GARCIA,SUSAN,C,716382980
3470500,716,Massachusetts,University of Idaho,JOHNSON,SARAH,J,404370617
5165998,181,Kentucky,Brown University,WILLIAMS,JOSEPH,A,347452311
6479328,358,New Jersey,University of Kansas,LOPEZ,LINDA,Q,374063517
6236059,431,Arkansas,University of Utah,JOHNSON,LINDA,V,294623858
9117421,052,Missouri,Dartmouth College,LOPEZ,THOMAS,N,615938351
3282714,312,Nevada,Harvard University,LOPEZ,JENNIFER,J,930642726
2177039,800,North Carolina,Boise State University,LOPEZ,SUSAN,I,021863963
1569069,658,Kansas,University of Colorado Boulder,JONES,THOMAS,F,602755472
8057861,672,Virginia,Stanford University,ANDERSON,SUSAN,Y,077911845
4218754,575,Kentucky,University of Washington,DAVIS,KAREN,N,653558388
9249477,416,Wyoming,University of Florida,JONES,MICHAEL,W,839193557
