Det,AFPC Comments,LastName,FirstName,MI,SSN,DOB,DOC,AFSC,Branch
119,,THOMAS,JANET,L,166287581,20/02/1995,8/8/2017,5C0X1,USSF
890,,TAYLOR,JERRY,M,874124979,4/6/1977,20/11/1999,14N1,USAF
512,,MOORE,MARIA,N,827570099,16/09/1988,4/3/2011,31P1,USAF
203,,JACKSON,TYLER,O,980305745,28/12/1981,15/06/2004,63A1,USAF
712,,MARTIN,HEATHER,P,155275667,11/4/1993,27/09/2015,17D1S,USSF
389,,LEE,AARON,Q,128706478,23/07/1979,8/1/2002,1A0X1,USAF
921,,PEREZ,HELENA,R,120984479,4/11/1990,21/04/2013,1C0X2,USAF
510,,THOMPSON,JAMES,S,1378281,16/02/1985,4/8/2007,13S1,USSF
114,,WHITE,MARY,T,646829462,28/05/1991,13/11/2013,3D0X2,USAF
815,,HARRIS,ROBERT,U,618610086,9/9/1976,25/02/1999,11F3,USAF
304,,SANCHEZ,PATRICIA,V,548386106,21/12/1987,8/6/2010,62E1S,USSF
927,,CLARK,JOHN,W,697694809,3/4/1982,19/09/2004,17D1,USAF
412,,RAMIREZ,JENNIFER,X,496230051,15/07/1993,31/12/2015,14N1,USAF
119,,LEWIS,MICHAEL,Y,640423606,27/10/1978,14/04/2001,62E1S,USAF
890,,ROBINSON,LINDA,Z,597060860,8/2/1989,26/07/2011,13S3,USSF
512,,WALKER,DAVID,A,714166495,20/05/1983,5/11/2005,21A1,USAF
203,,YOUNG,ELIZABETH,B,923101375,1/9/1994,17/02/2017,32E1S,USAF
712,,ALLEN,WILLIAM,C,789683212,13/12/1975,30/05/1998,13S1,USSF
389,,KING,BARBARA,D,101024424,25/03/1987,10/9/2009,11M3,USAF
921,,WRIGHT,RICHARD,E,526026846,6/7/1981,22/12/2003,17S1,USAF
510,,SCOTT,SUSAN,F,291615351,18/10/1992,5/4/2015,5C0X1,USSF
114,,TORRES,JOSEPH,G,462567317,30/01/1986,18/07/2008,14N1,USAF
815,,NGUYEN,JESSICA,H,863753365,11/5/1991,27/10/2013,31P1,USAF
304,,HILL,THOMAS,I,573613107,23/08/1977,8/2/2000,63A1,USAF
927,,FLORES,SARAH,J,373135421,4/12/1988,22/05/2011,17D1S,USSF
412,,GREEN,CHARLES,K,422634022,16/03/1983,1/9/2005,1A0X1,USAF
119,,ADAMS,KAREN,L,211579782,28/06/1994,13/12/2016,1C0X2,USAF
890,,NELSON,CHRISTOPHER,M,392212532,9/10/1975,27/03/1998,13S1,USSF
512,,BAKER,NANCY,N,422885026,21/01/1989,9/7/2011,3D0X2,USAF
203,,HALL,DANIEL,O,971842353,3/5/1980,19/10/2002,11F3,USAF
712,,RIVERA,LISA,P,602602748,15/08/1991,1/2/2014,62E1S,USSF
389,,CAMPBELL,MATTHEW,Q,123094394,27/11/1985,15/05/2008,17D1,USAF
921,,MITCHELL,BETTY,R,459826759,9/3/1979,25/08/2001,14N1,USAF
510,,CARTER,ANTHONY,S,297493434,21/06/1990,7/12/2012,62E1S,USAF
114,,ROBERTS,MARGARET,T,793443196,3/10/1981,20/03/2004,13S3,USSF
815,,GOMEZ,MARK,U,333974821,15/01/1992,2/7/2014,21A1,USAF
304,,PHILLIPS,SANDRA,V,128939825,27/04/1983,13/10/2005,32E1S,USAF
927,,EVANS,DONALD,W,14295671,9/8/1994,25/01/2017,13S1,USSF
412,,DIAZ,ASHLEY,X,152053665,21/11/1978,9/5/2001,11M3,USAF
119,,HOWARD,PAUL,Y,112872966,3/3/1989,19/08/2011,17S1,USAF
890,,WEST,KIMBERLY,Z,386755611,15/06/1980,1/12/2002,5C0X1,USSF
512,,JORDAN,STEVEN,A,875893242,27/09/1991,15/03/2014,14N1,USAF
203,,OWENS,DONNA,B,454881626,9/1/1986,27/06/2008,31P1,USAF
712,,REYNOLDS,ANDREW,C,163611652,21/04/1977,7/10/1999,63A1,USAF
389,,FISHER,EMILY,D,827107333,3/8/1988,20/01/2011,17D1S,USSF
921,,ELLIS,KENNETH,E,933695007,15/11/1982,2/5/2005,1A0X1,USAF
510,,HARRISON,MICHELLE,F,550516058,27/02/1993,15/08/2015,1C0X2,USAF
114,,GIBSON,JOSHUA,G,946214459,9/6/1984,25/11/2006,13S1,USSF
815,,MCDONALD,CAROL,H,600890552,21/09/1975,9/3/1998,3D0X2,USAF
304,,CRUZ,KEVIN,I,249308089,3/1/1986,20/06/2008,11F3,USAF
927,,MARSHALL,AMANDA,J,297129352,15/04/1991,1/10/2013,62E1S,USSF
412,,ORTIZ,BRIAN,K,811134332,27/07/1982,12/1/2005,17D1,USAF
119,,MURRAY,MELISSA,L,982856225,8/11/1993,25/04/2016,14N1,USAF
890,,FREEMAN,GEORGE,M,891632227,20/02/1980,7/8/2002,62E1S,USAF
512,,WELLS,DEBORAH,N,649971211,4/6/1991,20/11/2013,13S3,USSF
203,,WEBB,EDWARD,O,083158617,16/09/1976,3/3/1999,21A1,USAF
712,,SIMPSON,STEPHANIE,P,119327345,28/12/1987,15/06/2010,32E1S,USAF
389,,STEVENS,RONALD,Q,532656436,11/4/1982,27/09/2004,13S1,USSF
921,,TUCKER,REBECCA,R,385389360,23/07/1993,8/1/2016,11M3,USAF
510,,PORTER,TIMOTHY,S,576268639,4/11/1984,21/04/2007,17S1,USAF
114,,HUNTER,SHARON,T,193033981,16/02/1995,4/8/2017,5C0X1,USSF
815,,HICKS,JASON,U,898849057,28/05/1979,13/11/2001,14N1,USAF
304,,CRAWFORD,LAURA,V,408579509,9/9/1990,25/02/2013,31P1,USAF
927,,BOYD,JEFFREY,W,794202615,21/12/1981,8/6/2004,63A1,USAF
412,,MASON,CYNTHIA,X,326217797,3/4/1992,19/09/2014,17D1S,USSF
119,,BURNS,RYAN,Y,699320090,15/07/1983,1/1/2006,1A0X1,USAF
890,,GARDNER,KATHLEEN,Z,165219794,27/10/1994,14/04/2017,1C0X2,USAF
512,,PAYNE,JACOB,A,576506253,8/2/1985,26/07/2007,13S1,USSF
203,,PALMER,AMY,B,456882050,20/05/1991,5/11/2013,3D0X2,USAF
712,,STONE,GARY,C,956934084,1/9/1976,18/02/1999,11F3,USAF
389,,NICHOLS,SHIRLEY,D,729935761,13/12/1987,30/05/2010,62E1S,USSF
921,,WARREN,NICHOLAS,E,072686845,25/03/1982,10/9/2004,17D1,USAF
510,,STEWART,ANGELA,F,359529296,6/7/1993,22/12/2015,14N1,USAF
114,,MORRISON,ERIC,G,355204932,18/10/1984,5/4/2007,62E1S,USAF
815,,SMITH,HELEN,H,939255504,30/01/1995,18/07/2017,13S3,USSF
304,,JOHNSON,JONATHAN,I,035600575,11/5/1979,27/10/2001,21A1,USAF
927,,WILLIAMS,ANNA,J,291604933,23/08/1990,8/2/2013,32E1S,USAF
412,,BROWN,STEPHEN,K,910953619,4/12/1981,22/05/2004,13S1,USSF
119,,JONES,BRENDA,L,110755991,16/03/1992,1/9/2014,11M3,USAF
890,,GARCIA,LARRY,M,542003443,28/06/1983,14/12/2005,17S1,USAF
512,,MILLER,PAMELA,N,756885499,9/10/1994,27/03/2017,5C0X1,USSF
203,,DAVIS,JUSTIN,O,452327627,21/01/1977,9/7/1999,14N1,USAF
712,,RODRIGUEZ,NICOLE,P,331528901,3/5/1988,19/10/2010,31P1,USAF
389,,MARTINEZ,BENJAMIN,Q,399104326,15/08/1982,1/2/2005,63A1,USAF
921,,HERNANDEZ,SAMANTHA,R,697282592,27/11/1993,15/05/2016,17D1S,USSF
510,,LOPEZ,SAMUEL,S,621684390,9/3/1980,25/08/2002,1A0X1,USAF
114,,GONZALEZ,KATHERINE,T,847091944,21/06/1991,7/12/2013,1C0X2,USAF
815,,WILSON,GREGORY,U,768966825,3/10/1985,21/03/2008,13S1,USSF
304,,ANDERSON,EMMA,V,599925058,15/01/1992,2/7/2014,3D0X2,USAF
927,,THOMAS,ALEXANDER,W,773436868,27/04/1979,13/10/2001,11F3,USAF
412,,TAYLOR,RUTH,X,216457830,9/8/1994,25/01/2017,62E1S,USSF
119,,MOORE,FRANK,Y,889541356,21/11/1981,9/5/2003,17D1,USAF
890,,JACKSON,CHRISTINE,Z,439790705,3/3/1992,19/08/2014,14N1,USAF
512,,MARTIN,PATRICK,A,889396299,15/06/1983,1/12/2005,62E1S,USAF
203,,LEE,DEBRA,B,199763691,27/09/1994,15/03/2017,13S3,USSF
712,,PEREZ,RAYMOND,C,747521825,9/1/1976,27/06/1998,21A1,USAF
389,,THOMPSON,RACHEL,D,120328006,21/04/1987,7/10/2009,32E1S,USAF
921,,WHITE,JACK,E,433198359,3/8/1982,20/01/2004,13S1,USSF
510,,HARRIS,CAROLYN,F,966463509,15/11/1993,2/5/2015,11M3,USAF
114,,SANCHEZ,DENNIS,G,606050889,27/02/1980,15/08/2002,17S1,USAF
815,,CLARK,JANET,H,29149708,9/6/1991,25/11/2013,5C0X1,USSF
304,,RAMIREZ,JERRY,I,481133671,21/09/1984,9/3/2007,14N1,USAF
927,,LEWIS,MARIA,J,679639919,3/1/1995,20/06/2017,31P1,USAF
412,,ROBINSON,TYLER,K,046202801,15/04/1978,1/10/2000,63A1,USAF
119,,WALKER,HEATHER,L,604053328,27/07/1989,12/1/2012,17D1S,USSF
890,,YOUNG,AARON,M,512997746,8/11/1980,26/04/2002,1A0X1,USAF
512,,ALLEN,HELENA,N,114206373,20/02/1991,8/8/2013,1C0X2,USAF
203,,KING,JAMES,O,768051758,4/6/1986,20/11/2008,13S1,USSF
712,,WRIGHT,MARY,P,683265177,16/09/1977,4/3/2000,3D0X2,USAF
389,,SCOTT,ROBERT,Q,320783266,28/12/1992,15/06/2014,11F3,USAF
921,,TORRES,PATRICIA,R,299924734,11/4/1983,27/09/2005,62E1S,USSF
510,,NGUYEN,JOHN,S,643160763,23/07/1994,8/1/2017,17D1,USAF
114,,HILL,JENNIFER,T,216289813,4/11/1979,21/04/2001,14N1,USAF
815,,FLORES,MICHAEL,U,453643535,16/02/1990,4/8/2012,62E1S,USAF
304,,GREEN,LINDA,V,119586797,28/05/1981,13/11/2003,13S3,USSF
927,,ADAMS,DAVID,W,150323437,9/9/1992,25/02/2015,21A1,USAF
412,,NELSON,ELIZABETH,X,534667500,21/12/1983,8/6/2006,32E1S,USAF
119,,BAKER,WILLIAM,Y,269671215,3/4/1995,19/09/2017,13S1,USSF
890,,HALL,BARBARA,Z,990174459,15/07/1976,31/12/1998,11M3,USAF
512,,RIVERA,RICHARD,A,075518058,27/10/1987,14/04/2010,17S1,USAF
203,,CAMPBELL,SUSAN,B,101342712,8/2/1994,26/07/2016,5C0X1,USSF
712,,MITCHELL,JOSEPH,C,442517566,20/05/1975,5/11/1997,14N1,USAF
389,,CARTER,JESSICA,D,575415005,1/9/1986,17/02/2009,31P1,USAF
921,,ROBERTS,THOMAS,E,222610713,13/12/1991,30/05/2013,63A1,USAF
510,,GOMEZ,SARAH,F,576877023,25/03/1982,10/9/2004,17D1S,USSF
