Cadet_ID,Detachment,Det State,School,LastName,FirstName,MI,email,phone
5596873,510,New York,Clemson University,THOMPSON,JAMES,S,james.thompson_1472@example.com,605-900-6052
1107853,304,Pennsylvania,"University of California, Berkeley",SANCHEZ,PATRICIA,V,patricia.sanchez_8609@example.com,818-627-4130
2991606,890,Texas,Boise State University,ROBINSON,LINDA,Z,linda.robinson_8322@example.com,443-748-8076
1206409,712,Vermont,New York University,ALLEN,WILLIAM,C,william.allen_5779@example.com,421-368-8574
2009706,510,Illinois,University of Nebraska-Lincoln,SCOTT,SUSAN,F,susan.scott_4171@example.com,165-633-2622
2980290,927,Wyoming,Yale University,FLORES,SARAH,J,sarah.flores_5042@example.com,901-352-4658
9525193,890,Oregon,West Virginia University,NELSON,CHRISTOPHER,M,christopher.nelson_1215@example.com,283-185-8226
4970959,712,Nevada,University of Kansas,RIVERA,LISA,P,lisa.rivera_5732@example.com,516-124-7546
9292752,114,Oregon,University of Alaska,ROBERTS,MARGARET,T,margaret.roberts_5246@example.com,342-836-4412
0196361,927,Oregon,Dartmouth College,EVANS,DONALD,W,donald.evans_4351@example.com,700-839-7629
5016506,890,Georgia,Kansas State University,WEST,KIMBERLY,Z,kimberly.west_1377@example.com,177-726-6796
8368186,389,Florida,Rutgers University,FISHER,EMILY,D,emily.fisher_8512@example.com,285-440-1173
4725485,114,Nevada,University of Michigan,GIBSON,JOSHUA,G,joshua.gibson_1871@example.com,847-126-3874
4775515,927,Idaho,Ohio State University,MARSHALL,AMANDA,J,amanda.marshall_4713@example.com,986-581-6834
0829097,512,Tennessee,Michigan State University,WELLS,DEBORAH,N,deborah.wells_3741@example.com,374-617-9563
1888597,389,Oklahoma,New York University,STEVENS,RONALD,Q,ronald.stevens_9228@example.com,438-220-9531
3470507,114,New Hampshire,University of Wyoming,HUNTER,SHARON,T,sharon.hunter_7512@example.com,654-749-5681
6307991,412,Maryland,University of Wyoming,MASON,CYNTHIA,X,cynthia.mason_1699@example.com,544-311-9493
2879409,512,Indiana,University of Vermont,PAYNE,JACOB,A,jacob.payne_2850@example.com,841-533-8093
0213337,389,Georgia,University of Hawaii,NICHOLS,SHIRLEY,D,shirley.nichols_3397@example.com,706-930-2730
9453286,815,Rhode Island,Vanderbilt University,SMITH,HELEN,H,helen.smith_1166@example.com,510-208-3651
7613503,412,Pennsylvania,Rutgers University,BROWN,STEPHEN,K,stephen.brown_5273@example.com,461-400-5912
4865640,512,Wisconsin,Harvard University,MILLER,PAMELA,N,pamela.miller_7040@example.com,249-780-3830
2055521,921,Oregon,Massachusetts Institute of Technology,HERNANDEZ,SAMANTHA,R,samantha.hernandez_6427@example.com,639-617-4166
6411665,815,North Dakota,University of Southern California,WILSON,GREGORY,U,gregory.wilson_7822@example.com,310-646-7864
6238350,412,Connecticut,University of Idaho,TAYLOR,RUTH,X,ruth.taylor_6379@example.com,638-333-4439
0169156,203,Iowa,"University of California, Berkeley",LEE,DEBRA,B,debra.lee_5061@example.com,239-784-5292
9820812,921,Utah,University of Oregon,WHITE,JACK,E,jack.white_1375@example.com,421-952-3642
6286041,815,Tennessee,University of Georgia,CLARK,JANET,H,janet.clark_3682@example.com,521-337-5458
8955885,119,Alaska,Massachusetts Institute of Technology,WALKER,HEATHER,L,heather.walker_4912@example.com,925-381-9384
2182224,203,Louisiana,Boise State University,KING,JAMES,O,james.king_3206@example.com,709-607-1857
9823068,921,Tennessee,University of Kansas,TORRES,PATRICIA,R,patricia.torres_6542@example.com,859-528-4716
0771956,304,Delaware,Purdue University,GREEN,LINDA,V,linda.green_3321@example.com,997-586-5194
0990595,119,Idaho,Dartmouth College,BAKER,WILLIAM,Y,william.baker_9375@example.com,213-549-8130
3649927,203,Mississippi,University of Wyoming,CAMPBELL,SUSAN,B,susan.campbell_3564@example.com,961-566-9148
4724626,510,New York,Tulane University,GOMEZ,SARAH,F,sarah.gomez_1707@example.com,658-496-9063
7570140,304,New Jersey,Auburn University,DIAZ,CHRISTOPHER,I,christopher.diaz_2524@example.com,805-560-2660
6622889,119,Arizona,Massachusetts Institute of Technology,JORDAN,LISA,L,lisa.jordan_7279@example.com,653-495-8021
0924714,712,Virginia,Virginia Tech,ELLIS,MARGARET,P,margaret.ellis_4258@example.com,944-855-8947
8124573,510,Wyoming,University of Minnesota,MCDONALD,DONALD,S,donald.mcdonald_1220@example.com,969-401-8705
7783391,304,North Dakota,University of Pennsylvania,ORTIZ,KIMBERLY,V,kimberly.ortiz_8965@example.com,125-388-4245
4605930,890,Delaware,University of Missouri,WEBB,EMILY,Z,emily.webb_7326@example.com,185-667-5391
8957495,712,Arizona,North Dakota State University,TUCKER,JOSHUA,C,joshua.tucker_5089@example.com,755-657-3974
3856181,510,Ohio,University of Hawaii,HICKS,AMANDA,F,amanda.hicks_1191@example.com,209-177-2686
7592378,927,West Virginia,University of Minnesota,BURNS,DEBORAH,J,deborah.burns_2854@example.com,365-510-9588
0048216,890,California,Yale University,PALMER,RONALD,M,ronald.palmer_5934@example.com,300-411-6395
8605760,712,Minnesota,University of Nebraska-Lincoln,WARREN,SHARON,P,sharon.warren_2971@example.com,505-497-4397
3073807,114,Wyoming,University of South Carolina,JOHNSON,CYNTHIA,T,cynthia.johnson_9786@example.com,431-270-7477
0883623,927,Wyoming,University of Washington,JONES,JACOB,W,jacob.jones_5259@example.com,416-641-2251
8664264,890,Idaho,University of Oregon,DAVIS,SHIRLEY,Z,shirley.davis_3602@example.com,825-799-1676
6970681,389,Oregon,Georgia Institute of Technology,LOPEZ,HELEN,D,helen.lopez_3779@example.com,266-243-7346
0544034,114,Mississippi,University of Virginia,ANDERSON,STEPHEN,G,stephen.anderson_6026@example.com,486-129-6605
5886576,927,Indiana,University of Illinois,MOORE,PAMELA,J,pamela.moore_4116@example.com,258-142-2564
4783577,512,Nevada,South Dakota State University,PEREZ,SAMANTHA,N,samantha.perez_6966@example.com,730-393-2118
1817499,389,Tennessee,Vanderbilt University,HARRIS,GREGORY,Q,gregory.harris_2694@example.com,261-253-5265
5060797,114,Vermont,University of Mississippi,RAMIREZ,RUTH,T,ruth.ramirez_9281@example.com,744-809-2567
9009494,412,Maine,University of Illinois,YOUNG,DEBRA,X,debra.young_6090@example.com,287-219-6915
3139145,512,Missouri,University of South Carolina,WRIGHT,JACK,A,jack.wright_9777@example.com,406-722-8302
2586730,389,Minnesota,University of Utah,NGUYEN,JANET,D,janet.nguyen_5271@example.com,822-464-2962
0717997,815,Louisiana,University of Colorado Boulder,ADAMS,HEATHER,H,heather.adams_7719@example.com,747-289-8167
3001149,412,Maryland,Indiana University,HALL,JAMES,K,james.hall_8704@example.com,424-984-4437
4606397,512,Texas,Purdue University,MITCHELL,PATRICIA,N,patricia.mitchell_2913@example.com,301-723-1236
4957730,921,Delaware,University of Georgia,PHILLIPS,LINDA,R,linda.phillips_3735@example.com,250-456-9865
4990634,815,Mississippi,University of Florida,HOWARD,WILLIAM,U,william.howard_2312@example.com,897-953-9127
1806671,412,Kentucky,Columbia University,OWENS,SUSAN,X,susan.owens_1994@example.com,568-101-5656
1354232,203,Michigan,University of Wyoming,HARRISON,SARAH,B,sarah.harrison_2450@example.com,476-257-9139
8131844,921,West Virginia,Stanford University,CRUZ,CHRISTOPHER,E,christopher.cruz_4068@example.com,879-161-3747
1017738,815,Tennessee,University of Michigan,MURRAY,LISA,H,lisa.murray_5690@example.com,458-869-9867
2995040,119,Missouri,Colorado State University,SIMPSON,MARGARET,L,margaret.simpson_2587@example.com,254-919-3651
0098558,203,Arizona,Brown University,PORTER,DONALD,O,donald.porter_8532@example.com,813-978-8429
9420412,921,Mississippi,Columbia University,CRAWFORD,KIMBERLY,R,kimberly.crawford_6553@example.com,879-176-6874
1176714,304,Washington,University of Idaho,GARDNER,EMILY,V,emily.gardner_8244@example.com,828-963-6340
5842087,119,Pennsylvania,Tulane University,STONE,JOSHUA,Y,joshua.stone_1836@example.com,897-307-6786
1168822,203,Maine,University of North Carolina at Chapel Hill,STEWART,AMANDA,B,amanda.stewart_9604@example.com,429-329-7676
5891682,510,Wyoming,Indiana University,WILLIAMS,DEBORAH,F,deborah.williams_5888@example.com,652-649-6715
9339745,304,Mississippi,Virginia Tech,GARCIA,RONALD,I,ronald.garcia_2830@example.com,810-362-9257
6842403,119,North Dakota,Kansas State University,RODRIGUEZ,SHARON,L,sharon.rodriguez_5898@example.com,210-424-7423
5580578,712,Oklahoma,South Dakota State University,GONZALEZ,CYNTHIA,P,cynthia.gonzalez_9368@example.com,330-270-7723
0609863,510,New York,University of Tennessee,THOMAS,JACOB,S,jacob.thomas_4483@example.com,246-480-3857
1813535,304,California,Princeton University,JACKSON,SHIRLEY,V,shirley.jackson_5542@example.com,658-689-1907
2409772,890,California,Clemson University,THOMPSON,HELEN,Z,helen.thompson_5946@example.com,376-295-4032
6594608,712,Louisiana,West Virginia University,SANCHEZ,STEPHEN,C,stephen.sanchez_3027@example.com,587-492-4547
3237268,510,Maine,Kansas State University,LEWIS,PAMELA,F,pamela.lewis_5620@example.com,845-485-6220
0271787,927,Massachusetts,University of Florida,ALLEN,SAMANTHA,J,samantha.allen_1939@example.com,327-888-3628
2433142,890,Massachusetts,Colorado State University,SCOTT,GREGORY,M,gregory.scott_8828@example.com,441-807-2785
7466562,712,New Mexico,University of Florida,HILL,RUTH,P,ruth.hill_2067@example.com,910-994-3114
3206062,114,Florida,Montana State University,NELSON,DEBRA,T,debra.nelson_6132@example.com,650-222-9523
9096759,927,South Carolina,University of New Mexico,RIVERA,JACK,W,jack.rivera_5448@example.com,346-546-2074
3738288,890,Texas,Mississippi State University,CARTER,JANET,Z,janet.carter_1214@example.com,697-256-7955
8090226,389,Maine,New York University,EVANS,HEATHER,D,heather.evans_4932@example.com,976-225-9547
0283650,114,Colorado,Indiana University,WEST,JAMES,G,james.west_8711@example.com,704-722-7582
6460495,927,South Dakota,Montana State University,REYNOLDS,PATRICIA,J,patricia.reynolds_1516@example.com,186-919-8530
0508779,512,Ohio,University of Nebraska-Lincoln,GIBSON,LINDA,N,linda.gibson_9802@example.com,418-839-6106
9262618,389,Washington,Florida State University,MARSHALL,WILLIAM,Q,william.marshall_5637@example.com,438-411-2030
6375695,114,West Virginia,South Dakota State University,FREEMAN,SUSAN,T,susan.freeman_4948@example.com,281-960-1423
5145435,412,Connecticut,Vanderbilt University,STEVENS,SARAH,X,sarah.stevens_5173@example.com,181-468-1643
9173980,512,Pennsylvania,University of Illinois,HUNTER,CHRISTOPHER,A,christopher.hunter_3563@example.com,716-540-4620
8189982,389,Ohio,University of Southern California,BOYD,LISA,D,lisa.boyd_2126@example.com,377-794-6127
7198230,815,Kentucky,University of Wyoming,PAYNE,MARGARET,H,margaret.payne_1877@example.com,595-410-8292
2583335,412,Wisconsin,West Virginia University,NICHOLS,DONALD,K,donald.nichols_1122@example.com,630-148-2462
7689625,512,Louisiana,Montana State University,MORRISON,KIMBERLY,N,kimberly.morrison_2418@example.com,760-283-7330
1411769,921,Colorado,Oregon State University,BROWN,EMILY,R,emily.brown_4889@example.com,153-680-4106
4528959,815,Oklahoma,Texas A&M University,MILLER,JOSHUA,U,joshua.miller_6561@example.com,555-452-7172
7252967,412,Arizona,Montana State University,MARTINEZ,AMANDA,X,amanda.martinez_8762@example.com,189-157-5644
2651761,203,South Carolina,University of Oregon,WILSON,DEBORAH,B,deborah.wilson_9109@example.com,353-511-2913
1973966,921,New York,Ohio State University,TAYLOR,RONALD,E,ronald.taylor_4854@example.com,226-579-5500
9254179,815,Arkansas,Pennsylvania State University,MARTIN,SHARON,H,sharon.martin_9982@example.com,199-225-3132
0481546,119,Louisiana,University of Texas at Austin,WHITE,CYNTHIA,L,cynthia.white_8114@example.com,828-591-1973
3598085,203,Hawaii,University of Nebraska-Lincoln,CLARK,JACOB,O,jacob.clark_8572@example.com,798-157-6381
0213494,921,New Jersey,Oklahoma State University,ROBINSON,SHIRLEY,R,shirley.robinson_5504@example.com,989-161-2947
6013981,304,Delaware,University of New Mexico,KING,HELEN,V,helen.king_5435@example.com,213-122-9765
5675825,119,Arkansas,University of Pennsylvania,TORRES,STEPHEN,Y,stephen.torres_5667@example.com,410-404-6084
0647663,203,Hawaii,Texas A&M University,FLORES,PAMELA,B,pamela.flores_6094@example.com,562-644-9427
6231727,510,North Carolina,University of Kansas,BAKER,SAMANTHA,F,samantha.baker_2121@example.com,634-229-2603
0716117,304,Delaware,University of Texas at Austin,CAMPBELL,GREGORY,I,gregory.campbell_1060@example.com,154-653-9997
0114425,119,Hawaii,University of Connecticut,ROBERTS,RUTH,L,ruth.roberts_8366@example.com,357-813-5937
2399656,712,West Virginia,North Dakota State University,DIAZ,DEBRA,P,debra.diaz_7352@example.com,275-119-7941
9576593,510,New Mexico,University of Arizona,JORDAN,JACK,S,jack.jordan_3495@example.com,862-341-2879
7816633,304,Virginia,Pennsylvania State University,FISHER,JANET,V,janet.fisher_3510@example.com,639-968-3555
2938560,890,Tennessee,University of Maryland,MCDONALD,HEATHER,Z,heather.mcdonald_8355@example.com,407-110-7209
3908137,712,Tennessee,University of Washington,ORTIZ,JAMES,C,james.ortiz_4367@example.com,682-833-1119
5633363,510,Idaho,University of Arizona,WELLS,PATRICIA,F,patricia.wells_2149@example.com,836-303-4163
2421354,927,Utah,Michigan State University,TUCKER,LINDA,J,linda.tucker_2982@example.com,842-138-9818
8731247,890,West Virginia,Tulane University,HICKS,WILLIAM,M,william.hicks_6094@example.com,410-256-4916
6183244,712,Louisiana,Ohio State University,MASON,SUSAN,P,susan.mason_1418@example.com,962-977-1182
6436776,114,Massachusetts,University of South Carolina,PALMER,SARAH,T,sarah.palmer_1728@example.com,666-222-2100
5254939,927,South Dakota,University of Alabama,WARREN,CHRISTOPHER,W,christopher.warren_1643@example.com,328-189-8644
0216027,890,New Hampshire,University of Maryland,SMITH,LISA,Z,lisa.smith_7596@example.com,858-180-9107
4176615,389,Illinois,Michigan State University,JONES,MARGARET,D,margaret.jones_8531@example.com,260-717-4830
2698315,114,Hawaii,Yale University,DAVIS,DONALD,G,donald.davis_9271@example.com,882-201-3372
9976724,927,Michigan,Stanford University,HERNANDEZ,KIMBERLY,J,kimberly.hernandez_4197@example.com,673-960-9530
7722738,512,Arkansas,University of Arizona,ANDERSON,EMILY,N,emily.anderson_8094@example.com,758-678-4773
0249280,389,New York,Yale University,MOORE,JOSHUA,D,joshua.moore_3808@example.com,839-215-7885
8612226,114,Mississippi,Tulane University,LEE,AMANDA,G,amanda.lee_4517@example.com,929-288-9305
4857063,412,Georgia,University of Arkansas,HARRIS,DEBORAH,K,deborah.harris_8373@example.com,289-968-4190
4671306,512,Kentucky,Tulane University,RAMIREZ,RONALD,N,ronald.ramirez_4814@example.com,325-965-2314
7286420,389,Mississippi,University of Michigan,WALKER,SHARON,Q,sharon.walker_2701@example.com,519-849-2953
9124181,815,Florida,University of Pennsylvania,WRIGHT,CYNTHIA,U,cynthia.wright_1268@example.com,803-477-7226
2803511,412,Montana,University of Connecticut,NGUYEN,JACOB,X,jacob.nguyen_2936@example.com,402-695-3632
2688131,512,Mississippi,University of New Mexico,GREEN,SHIRLEY,A,shirley.green_2600@example.com,502-383-2037
6812668,921,Minnesota,Massachusetts Institute of Technology,HALL,HELEN,E,helen.hall_9933@example.com,597-765-8143
7261140,815,Tennessee,"University of California, Berkeley",MITCHELL,STEPHEN,H,stephen.mitchell_2630@example.com,854-436-6813
6774662,412,Nevada,South Dakota State University,GOMEZ,PAMELA,K,pamela.gomez_4934@example.com,943-878-9024
1608735,203,West Virginia,University of Utah,HOWARD,SAMANTHA,O,samantha.howard_5951@example.com,322-594-1677
2275388,921,Tennessee,University of Illinois,OWENS,GREGORY,R,gregory.owens_1611@example.com,496-629-9774
5921023,815,Maine,University of Arizona,ELLIS,RUTH,U,ruth.ellis_4805@example.com,235-979-5650
5498010,119,Kentucky,University of Arizona,CRUZ,DEBRA,Y,debra.cruz_3466@example.com,867-617-8626
8680058,203,Alabama,University of Colorado Boulder,MURRAY,JACK,B,jack.murray_1796@example.com,861-191-3466
9816914,921,Georgia,Columbia University,WEBB,JANET,E,janet.webb_9492@example.com,402-859-5819
4045890,304,Delaware,Auburn University,PORTER,HEATHER,I,heather.porter_1002@example.com,444-341-7255
2874316,119,South Dakota,University of Missouri,CRAWFORD,JAMES,L,james.crawford_5107@example.com,231-393-8389
4710810,203,Georgia,University of Arizona,BURNS,PATRICIA,O,patricia.burns_2287@example.com,488-543-4675
8548221,510,Iowa,University of Hawaii,STONE,LINDA,S,linda.stone_5803@example.com,884-281-8486
6921918,304,Massachusetts,University of Delaware,STEWART,WILLIAM,V,william.stewart_5649@example.com,309-101-9657
1698921,119,Tennessee,Oklahoma State University,JOHNSON,SUSAN,Y,susan.johnson_8149@example.com,267-722-6195
1621845,712,Michigan,University of Florida,GARCIA,SARAH,C,sarah.garcia_5755@example.com,212-307-9682
5859271,510,Louisiana,Kansas State University,RODRIGUEZ,CHRISTOPHER,F,christopher.rodriguez_3436@example.com,267-667-7412
7277304,304,Indiana,University of South Carolina,LOPEZ,LISA,I,lisa.lopez_9814@example.com,314-640-3869
3667556,890,Delaware,Yale University,THOMAS,MARGARET,M,margaret.thomas_8559@example.com,865-879-3475
9359570,712,Tennessee,University of Florida,JACKSON,DONALD,P,donald.jackson_8964@example.com,250-203-9461
2633211,510,Massachusetts,Virginia Tech,PEREZ,KIMBERLY,S,kimberly.perez_3020@example.com,349-734-3010
7012065,927,North Dakota,University of Arkansas,SANCHEZ,EMILY,W,emily.sanchez_6697@example.com,711-138-6905
1083457,890,Arizona,Princeton University,LEWIS,JOSHUA,Z,joshua.lewis_2276@example.com,416-206-2672
6048556,712,Mississippi,University of South Carolina,YOUNG,AMANDA,C,amanda.young_6397@example.com,217-595-1614
0478140,114,Alaska,Indiana University,SCOTT,DEBORAH,G,deborah.scott_1271@example.com,573-594-8994
0098578,927,Massachusetts,University of Nebraska-Lincoln,HILL,RONALD,J,ronald.hill_4735@example.com,791-831-2623
6635345,890,Tennessee,University of Georgia,ADAMS,SHARON,M,sharon.adams_5484@example.com,848-201-4858
1734356,389,Georgia,Indiana University,RIVERA,CYNTHIA,Q,cynthia.rivera_8880@example.com,712-734-5949
9558168,114,New Jersey,Dartmouth College,CARTER,JACOB,T,jacob.carter_3050@example.com,369-689-8402
0979010,927,Minnesota,University of Maryland,PHILLIPS,SHIRLEY,W,shirley.phillips_5682@example.com,605-982-7890
9871322,512,Maine,Massachusetts Institute of Technology,WEST,HELEN,A,helen.west_9590@example.com,405-835-2933
0981248,389,Colorado,Clemson University,REYNOLDS,STEPHEN,D,stephen.reynolds_3801@example.com,314-574-8770
6585945,114,Alaska,University of North Carolina at Chapel Hill,HARRISON,PAMELA,G,pamela.harrison_2820@example.com,543-699-7862
1002613,412,Oregon,University of Maryland,MARSHALL,SAMANTHA,K,samantha.marshall_6428@example.com,650-755-4497
3003963,512,Ohio,University of Alabama,FREEMAN,GREGORY,N,gregory.freeman_9227@example.com,109-639-6821
3260362,389,Arkansas,University of Alaska,SIMPSON,RUTH,Q,ruth.simpson_7220@example.com,166-104-4542
3252699,815,Nebraska,University of Arkansas,HUNTER,DEBRA,H,debra.hunter_1859@example.com,558-135-3197
7214829,412,Texas,Mississippi State University,BOYD,JACK,K,jack.boyd_3470@example.com,289-970-9427
8680621,512,Maryland,University of Kansas,GARDNER,JANET,N,janet.gardner_8070@example.com,756-662-3199
4583409,921,Michigan,University of Texas at Austin,NICHOLS,HEATHER,R,heather.nichols_1659@example.com,830-942-7954
7115920,815,Mississippi,Oregon State University,MORRISON,JAMES,U,james.morrison_2630@example.com,468-660-9107
4678356,412,California,Massachusetts Institute of Technology,WILLIAMS,PATRICIA,X,patricia.williams_8758@example.com,684-436-2808
1698725,203,Tennessee,University of Florida,MILLER,LINDA,B,linda.miller_2320@example.com,293-569-1873
8580012,921,Oklahoma,University of Utah,MARTINEZ,WILLIAM,E,william.martinez_5137@example.com,725-964-7787
7857175,815,South Carolina,University of Alabama,GONZALEZ,SUSAN,H,susan.gonzalez_8999@example.com,103-513-2147
3503226,119,Connecticut,University of Alabama,TAYLOR,SARAH,L,sarah.taylor_7050@example.com,661-821-5854
8505196,203,Oklahoma,University of Alabama,MARTIN,CHRISTOPHER,O,christopher.martin_7567@example.com,579-513-9751
3291536,921,Washington,University of Utah,THOMPSON,LISA,R,lisa.thompson_7041@example.com,503-602-4062
5816572,304,Minnesota,Johns Hopkins University,CLARK,MARGARET,V,margaret.clark_2770@example.com,904-599-7091
6336624,119,Louisiana,Carnegie Mellon University,ROBINSON,DONALD,Y,donald.robinson_5223@example.com,386-751-3570
2592016,203,Rhode Island,Arizona State University,ALLEN,KIMBERLY,B,kimberly.allen_9685@example.com,347-606-9517
9421200,510,Nevada,University of Minnesota,TORRES,EMILY,F,emily.torres_8955@example.com,903-592-9213
0288362,304,Missouri,University of Southern California,FLORES,JOSHUA,I,joshua.flores_8535@example.com,938-858-9601
8518687,119,Delaware,Boise State University,NELSON,AMANDA,L,amanda.nelson_3849@example.com,237-919-9807
9932570,712,New York,Montana State University,CAMPBELL,DEBORAH,P,deborah.campbell_4989@example.com,799-387-7661
